AGAF, Afutara Aerodrome
SWZB, Fazenda Arara Azul Airport
SWZC, Fazenda Corixo Airport
SWZD, Fazenda Denusa Destilaria Nova Uniao Airport
SWZE, Fazenda Tamboril Airport
SWZF, Fazenda Araguari Airport
SWZG, Fazenda Lagoa Encantada Airport
SWZH, Fazenda Cacapava Airport
SWZJ, Fazenda Sao Joao Airport
SWZL, Fazenda Americana Airport
SWZM, Usina Sao Simao Airport
SWZN, Fazenda Frances Airport
SWZO, Fazenda Lagoa Funda Airport
SWZP, Fazenda Vale Rico Airport
SWZQ, Fazenda Jussara Airport
SWZR, Fazenda Santa Rita Airport
SWZS, Fazenda Nova Larga Airport
SWZT, Fazenda do Brejo Airport
SWZU, Fazenda Rodoserv I Airport
SWZV, Fazenda Rodoserv III Airport
SWZW, Fazenda Santa Fe do Xingu Airport
SWZY, Fazenda Sete Estrelas Airport
SYAH, Aishalton Airport
SYAN, Annai Airport
SYAP, Apoteri Airport
SYAW, Awaruwaunau Airport
SYBE, Bemichi Airport
SYBR, Baramita Airport
SYBT, Bartica A Airport
SYCJ, Cheddi Jagan International Airport
SYEB, Ebini Airport
SYGO, Ogle Airport
SYIB, Imbaimadai Airport
SYKK, Kurukabaru Airport
SYKM, Kamarang Airport
SYKR, Karanambo Airport
SYKS, Karasabai Airport
SYKT, Kato Airport
SYKW, Kwakwani Airport
SYLD, Linden Airport
SYLP, Lumid Pau Airport
SYLT, Lethem Airport
SYMB, Mabaruma Airport
SYMD, Mahdia Airport
SYMM, Monkey Mountain Airport
SYMN, Manari Airport
SYMP, Mountain Point Airport
SYMR, Matthews Ridge Airport
SYMW, Marurawana Airport
SYNA, New Amsterdam Airport
SYOR, Orinduik Airport
SYPR, Paruma Airport
SYWI, Wichabai Airport
TAPA, V.C. Bird International Airport
TAPH, Codrington Airport
TAPT, Coco Point Lodge Airstrip
TBPB, Sir Grantley Adams International Airport
TCYT, Crystal Brook Airport
TDCF, Canefield Airport
TDPD, Melville Hall Airport
TFFA, La Desirade Airport
TFFB, Baillif Airport
TFFC, St-Francois Airport
TFFF, Martinique Aime Cesaire International Airport
TFFG, L'Esperance Airport
TFFJ, Gustaf III Airport
TFFM, Les Bases Airport
TFFR, Pointe-a-Pitre Le Raizet
TFFS, Terre-de-Haut Airport
TGPY, Point Salines International Airport
TGPZ, Lauriston Airport
TIST, Cyril E. King Airport
TISX, Henry E Rohlsen Airport
TJAB, Antonio Nery Juarbe Pol Airport
TJBQ, Rafael Hernandez Airport
TJCP, Benjamin Rivera Noriega Airport
TJFA, Diego Jimenez Torres Airport
TJIG, Fernando Luis Ribas Dominicci Airport
TJMZ, Eugenio Maria De Hostos Airport
TJPS, Mercedita Airport
TJRV, Jose Aponte de la Torre Airport
TJSJ, Luis Munoz Marin International Airport
TJVQ, Antonio Rivera Rodriguez Airport
TKPK, Robert L. Bradshaw International Airport
TKPN, Vance W. Amory International Airport
TLPC, George F. L. Charles Airport
TLPL, Hewanorra International Airport
TMJG, Areopuerto Internacional Islas Michael
TNCA, Queen Beatrix International Airport
TNCB, Flamingo International Airport
TNCC, Hato International Airport
TNCE, F. D. Roosevelt Airport
TNCM, Princess Juliana International Airport
TNCS, Juancho E. Yrausquin Airport
TQPF, Wallblake Airport
TRPG, John A. Osborne Airport
TTCP, Tobago-Crown Point Airport
TTPP, Piarco International Airport
TUPA, Captain Auguste George Airport
TUPJ, Terrance B. Lettsome International Airport
TUPW, Virgin Gorda Airport
TVSB, J F Mitchell Airport
TVSC, Canouan Airport
TVSM, Mustique Airport
TVSU, Union Island International Airport
TVSV, E. T. Joshua Airport
TXKF, L.F. Wade International International Airport
UAAA, Almaty Airport
UAAH, Balkhash Airport
UAAR, Boralday Airport
UAAT, Taldykorgan Airport
UACC, Astana International Airport
UACK, Kokshetau Airport
UACP, Petropavlosk South Airport
UADD, Taraz Airport
UAFA, Tamga Airport
UAFB, Batken Airport
UAFE, Kerben Airport
UAFF, Tokmok Airport
UAFG, Cholpon-Ata Airport
UAFI, Isfana Airport
UAFJ, Jalal-Abad Airport
UAFL, Issyk-Kul International Airport
UAFM, Manas International Airport
UAFN, Naryn Airport
UAFO, Osh Airport
UAFP, Karakol Airport
UAFR, Balykchy Airport
UAFS, Kyzyl-Kiya Airport
UAFT, Talas Airport
UAFW, Kant Air Base
UAFZ, Kazarman Airport
UAII, Shymkent Airport
UAJT, Turkestan Airport
UAKD, Zhezkazgan Airport
UAKK, Sary-Arka Airport
UAON, Yubileyniy Airfield
UAOO, Kzyl-Orda Southwest Airport
UARR, Uralsk Airport
UASA, Ayaguz Airport
UASB, Ekibastuz Airport
UASK, Ust-Kamennogorsk Airport
UASP, Pavlodar Airport
UASS, Semipalatinsk Airport
UATA, Aralsk Airport
UATE, Aktau Airport
UATG, Atyrau Airport
UATR, Chelkar Airport
UATT, Aktobe Airport
UAUR, Arkalyk North Airport
UAUU, Kostanay West Airport
UBBA, Akstafa Airport
UBBB, Heydar Aliyev International Airport
UBBG, Ganja Airport
UBBL, Lankaran International Airport
UBBN, Nakhchivan Airport
UBBQ, Gabala International Airport
UBBY, Zaqatala International Airport
UBEE, Yevlakh Airport
UDLS, Stepanavan Airport
UDSG, Gyumri Shirak Airport
UDYE, Erebuni Airport
UDYZ, Zvartnots International Airport
UEBB, Batagay Airport
UEBN, Nizhneyansk Airport
UEBT, Ust-Kuyga Airport
UEBW, Verkhoyansk Airport
UEEA, Aldan Airport
UEEE, Yakutsk Airport
UELL, Chulman Airport
UEMA, Moma Airport
UEMH, Tyopliy Klyuch Airport
UEMM, Magan Airport
UEMO, Olyokminsk Airport
UEMT, Ust-Nera Airport
UEMU, Ust-Maya Airport
UENI, Verkhnevilyuisk Airport
UENK, Kyzyl-Syr Airport
UENN, Nyurba Airport
UENS, Suntar Airport
UENW, Vilyuisk Airport
UERA, Aykhal Airport
UERL, Lensk Airport
UERO, Olenyok Airport
UERP, Polyarny Airport
UERR, Mirny Airport
UERS, Saskylakh Airport
UERT, Vitim Airport
UESG, Belaya Gora Airport
UESO, Chokurdakh Airport
UESS, Cherskiy Airport
UEST, Tiksi Airport
UESU, Zyryanka Airport
UEVV, Zhigansk Airport
UEWD, Deputatskiy Airport
UGEJ, Dzhermuk Airport
UGKO, Kopitnari Airport
UGMM, Mukhrani Airport
UGSB, Batumi International Airport
UGSP, Poti East Airport
UGSS, Sukhumi Dranda Airport
UGTB, Tbilisi International Airport
UHBB, Ignatyevo Airport
UHBE, Zeya Airport
UHBI, Magdagachi Airport
UHBP, Ekimchan Airport
UHBS, Svobodny Airport
UHBW, Tynda Airport
UHHB, Birobidzhan Yuzhniy Airfield
UHHH, Khabarovsk-Novy Airport
UHHT, Khabarovsk Airport
UHHY, Chumikan Airport
UHKD, Dzemgi Airport
UHKG, Kamenny Ruchey Naval Air Base
UHKK, Komsomolsk-on-Amur Airport
UHKM, Maygatka Airport.
UHMA, Ugolny Airport
UHMD, Provideniya Bay Airport
UHME, Zaliv Kresta
UHMF, Omsukchan Airport
UHMG, Chaybukha Airport
UHMI, Mys Shmidta Airport
UHMK, Keperveem Airport
UHML, Lavrentiya Airport
UHMM, Sokol Airport
UHMN, Omolon Airport
UHMO, Markovo Airport
UHMP, Pevek Airport
UHMR, Beringovskiy Airport
UHMS, Seymchan Airport
UHMT, Magadan-13 Airport
UHMW, Severo-Evensk Airport
UHNA, Munuk Airport
UHNB, Bogorodskoye Airport
UHNN, Nikolayevsk-na-Amure Airport
UHOO, Okhotsk Airport
UHPA, Ust-Pakhachi Airport
UHPG, Tigil Airport
UHPH, Khalaktyrka Airport
UHPK, Ust-Kamchatsk Airport
UHPL, Palana Airport
UHPM, Milkovo Airport
UHPP, Yelizovo Airport
UHPT, Tilichiki Airport
UHPU, Ust-Khayryuzovo Airport
UHPX, Nikolskoye Airport
UHSB, Burevestnik Airport
UHSH, Okha Airport
UHSK, Shakhtyorsk Airport
UHSM, Mendeleyevo Airport
UHSO, Zonalnoye Airport
UHSS, Yuzhno-Sakhalinsk Airport
UHWP, Plastun Airport
UHWW, Vladivostok International Airport
UIAA, Chita-Kadala Airport
UIAE, Krasnokamensk Airport
UIAO, Barguzin Airport
UIAR, Chara Airport
UIBB, Bratsk Airport
UIBS, Ust-Ilimsk Airport
UIBV, Zheleznogorsk Airport
UIIB, Belaya Air Base
UIII, Irkutsk Airport
UIIR, Irkutsk Northwest Airport
UIIV, Zhigalovo Airport
UIKB, Bodaybo Airport
UIKE, Yerbogachen Airport
UIKK, Kirensk Airport
UIKM, Mama Airport
UIOO, Ust-Ordynskiy Airport
UITK, Kazachinskaya Airport
UITT, Ust-Kut Airport
UIUB, Bagdarin Airport
UIUN, Nizhneangarsk Airport
UIUU, Ulan-Ude Airport (Mukhino)
UJAP, Ujae Atoll Airport
UKBB, Boryspil International Airport
UKBF, Konotop Air Base
UKCC, Donetsk International Airport
UKCK, Kramatorsk Airport
UKCM, Mariupol International Airport
UKCS, Sievierodonetsk Airport
UKCW, Luhansk International Airport
UKDB, Berdyansk Airport
UKDD, Dnipropetrovsk International Airport
UKDE, Zaporizhzhia International Airport
UKDR, Kryvyi Rih International Airport
UKFB, Belbek Airport
UKFF, Simferopol International Airport
UKFG, Gvardeyskoe Air Base
UKFI, Saki Air Base
UKFK, Kerch Airport
UKFV, Yevpatoriya Airport
UKFY, Dzhankoy Airport
UKHD, Kharkiv North Airport
UKHH, Kharkiv International Airport
UKHP, Suprunovka Airport
UKHS, Sumy Airport
UKKE, Cherkasy International Airport
UKKG, Kirovograd Airport
UKKH, Chepelevka Airport
UKKK, Kiev Zhuliany International Airport
UKKM, Gostomel Airport
UKKT, Svyatoshyn Airport
UKKV, Zhytomyr Airport
UKLC, Lutsk Airport
UKLH, Khmelnytskyi Airport
UKLI, Ivano-Frankivsk International Airport
UKLL, Lviv International Airport
UKLN, Chernivtsi International Airport
UKLR, Rivne International Airport
UKLT, Ternopil International Airport
UKLU, Uzhhorod International Airport
UKOH, Chernobayevka Airport
UKOI, Izmail Airport
UKOM, Limans'Ke Airport
UKON, Mykolaiv International Airport
UKOO, Odessa International Airport
UKWW, Vinnytsia/Gavyryshivka Airport
ULAA, Talagi Airport
ULAE, Mezen Airport
ULAH, Vaskovo Airport
ULAK, Severomorsk-1 Naval Air Base
ULAL, Leshukonskoye Airport
ULAM, Naryan Mar Airport
ULAN, Shenkursk Airport
ULAO, Onega Airport
ULAP, Karpogory Airport
ULAR, Kargopol Airport
ULAS, Solovki Airport
ULAT, Pertominsk Airport
ULAV, Nizhnyaya Pesha Airport
ULBC, Cherepovets Airport
ULBD, Dolgoshchelye Airport
ULBI, Chizha Airport
ULBL, Lopshenga Airport
ULBM, Purnema Airport
ULBO, Shoyna Airport
ULBW, Verkhnyaya Zolotitsa Airport
ULBZ, Letnyaya Zolotitsa Airport
ULDA, Rogachyovo Air Base
ULDD, Amderma Airport
ULDT, Karatayka Airport
ULDW, Varandey Airport
ULEH, Khorey-Ver Airport
ULER, Kharuta Airport
ULJC, Tsenogora Airport
ULJO, Olema Airport
ULKK, Kotlas Airport
ULKO, Oktyabrskiy Airport
ULKS, Savvatiya Air Base
ULKW, Velsk Airport
ULLI, Pulkovo Airport
ULLK, Krechevitsy Air Base
ULLP, Pushkin Airport
ULLS, Siversky Air Base
ULMA, Umba Airport
ULMK, Kirovsk-Apatity Airport
ULML, Lovozero Airport
ULMM, Murmansk Airport
ULMU, Tetrino Airport
ULMX, Krasnoshchelye Airport
ULNB, Borovichi Airport
ULNR, Staraya Russa Airport
ULOL, Velikiye Luki Airport
ULOO, Pskov Airport
ULPA, Pudozh Airport
ULPB, Petrozavodsk Airport
ULPK, Kalevala Airport
ULPM, Kostomuksha Airport
ULPP, Peski Airport
ULPS, Segezha Airport
ULPW, Sortavala Airport
ULSC, Seltso Airfield
ULSG, Gostilitsy Airfield
ULSI, Kusino Airfield
ULSK, Korpikyulya Airfield
ULSM, Manushkino Airfield
ULSO, Kuznetsovo Airfield
ULWK, Kichmengskiy Gorodok Airport
ULWR, Vytegra Airport
ULWU, Velikiy Ustyug Airport
ULWW, Vologda Airport
UMBB, Brest Airport
UMDD, Lida Air Base
UMGG, Gomel Airport
UMII, Vitebsk East Airport
UMKK, Khrabrovo Airport
UMLI, Minsk Machulishchy Airport
UMMA, Baranavichi Air Base
UMMB, Borovaya Airfield
UMMG, Hrodna Airport
UMMM, Minsk 1 Airport
UMMO, Osovtsy Air Base
UMMR, Ross Air Base
UMMS, Minsk International Airport
UMNB, Babruisk Air Base
UMNM, Novo-Pashkovo Airport
UMNV, Pruzhany Air Base
UMOO, Mogilev Airport
UNAA, Abakan Airport
UNAU, Shushenskoye Airport
UNBB, Barnaul Airport
UNBG, Gorno-Altaysk Airport
UNBI, Biysk Airport
UNBM, Volchikha Airport
UNBU, Ust-Koksa Airport
UNCC, Novosibirsk North Airport
UNCN, Krasnoozyorsk Airport
UNEE, Kemerovo Airport
UNIB, Baykit Airport
UNII, Yeniseysk Airport
UNIJ, Yartsevo Airport
UNIP, Podkamennaya Tunguska Airport
UNIS, Severo-Eniseysk Airport
UNIT, Tura Airport
UNIW, Vanavara Airport
UNKB, Boguchany Airport
UNKI, Kodinsk Airport
UNKL, Yemelyanovo Airport
UNKM, Cheremshanka Airport
UNKO, Sharypovo Airport
UNKS, Achinsk Airport
UNKY, Kyzyl Airport
UNLL, Kolpashevo Airport
UNNE, Yeltsovka Airport
UNNS, Severnoye Airport
UNNT, Tolmachevo Airport
UNOK, Kalachinsk Airport
UNOO, Omsk Central Airport
UNOS, Omsk Severny Airport
UNOT, Tara Airport
UNOW, Tevriz Airport
UNRR, Barabinsk Airport
UNSA, Aleksandrovskoye Airport
UNSS, Strezhevoy Airport
UNTT, Bogashevo Airport
UNWW, Spichenkovo Airport
UODD, Dikson Airport
UODN, Nagurskoye Air Base
UODS, Sredniy Ostrov Air Base
UOHH, Khatanga Airport
UOIC, Snezhnogorsk Airport
UOIG, Svetlogorsk Airport
UOII, Igarka Airport
UOOO, Norilsk-Alykel Airport
UOOW, Valek Airport
UOTT, Turukhansk Airport
URKA, Anapa Airport
URKE, Yeysk Airport
URKG, Gelendzhik Airport
URKH, Khanskaya Airport
URKK, Krasnodar International Airport
URKM, Maykop Airport
URKR, Armavir Air Base
URKS, Enem Airport
URME, Yessentuki Airport
URMG, Grozny North Airport
URML, Uytash Airport
URMM, Mineralnyye Vody Airport
URMN, Nalchik Airport
URMO, Beslan Airport
URMS, Magas Airport
URMT, Stavropol Shpakovskoye Airport
UROD, Dudinka Airport
URRH, Shakhty Airport
URRM, Morozovsk Air Base
URRR, Rostov-na-Donu Airport
URRS, Salsk Airport
URRT, Taganrog Yuzhny Airport
URRW, Veshenskaya Airport
URRY, Zavetnoe Airport
URSS, Sochi International Airport
URWA, Astrakhan Airport
URWI, Elista Airport
URWW, Volgograd International Airport
USCC, Chelyabinsk Balandino Airport
USCG, Chelyabinsk Shagol Airport
USCM, Magnitogorsk International Airport
USCV, Kalachevo Airfield
USDD, Salekhard Airport
USDH, Kharasavey Airport
USDK, Mys Kamenny Airport
USDO, Tolka Airport
USDP, Krasnoselkup Airport
USDR, Yar-Sale Airport
USDS, Tarko-Sale Airport
USDT, Tazovskiy Airport
USDU, Urengoy Airport
USHB, Berezovo Airport
USHH, Khanty Mansiysk Airport
USHI, Igrim Airport
USHK, Kondinskoye Airport
USHL, Lugovoy Airport
USHN, Nyagan Airport
USHS, Sovetskiy Airport
USHU, Uray Airport
USII, Izhevsk Airport
USKK, Pobedilovo Airport
USMM, Nadym Airport
USMU, Novy Urengoy Airport
USNN, Nizhnevartovsk Airport
USPB, Bakharevka Airport
USPP, Bolshoye Savino Airport
USPT, Berezniki Airport
USRK, Kogalym International Airport
USRN, Nefteyugansk Airport
USRO, Noyabrsk Airport
USRR, Surgut Airport
USSK, Uktus Airport
USSS, Koltsovo Airport
USTL, Plekhanovo Airport
USTO, Tobolsk Airport
USTR, Roshchino International Airport
USUK, Kurtamysh Airport
USUU, Kurgan Airport
UTAA, Ashgabat Airport
UTAK, Turkmenbashi Airport
UTAM, Mary Airport
UTAT, Da?oguz Airport
UTAV, Turkmenabat Airport
UTDD, Dushanbe Airport
UTDK, Kulob Airport
UTDL, Khudzhand Airport
UTDT, Qurghonteppa International Airport
UTKA, Andizhan Airport
UTKF, Fergana Airport
UTKK, Kokand Airport
UTKN, Namangan Airport
UTNM, Muynak Airport
UTNN, Nukus Airport
UTNT, Turtkul Airport
UTNU, Urgench Airport
UTOD, Khorog Airport
UTSA, Navoi Airport
UTSB, Bukhara Airport
UTSH, Shakhristabz Airport
UTSL, Karshi Khanabad Airport
UTSM, Tandy Bulak Airport
UTSN, Sugraly Airport
UTSR, Sariasiya Airport
UTSS, Samarkand Airport
UTST, Termez Airport
UTSU, Uchkuduk Airport
UTTP, Tashkent East Airport
UTTT, Tashkent International Airport
UUBA, Kostroma Sokerkino Airport
UUBB, Bykovo Airport
UUBC, Grabtsevo Airport
UUBD, Dyagilevo Air Base
UUBI, Ivanovo South Airport
UUBK, Staroselye Airport
UUBL, Semyazino Airport
UUBM, Myachkovo Airport
UUBN, Zmeyevo Airport
UUBP, Bryansk Airport
UUBS, Smolensk South Airport
UUBW, Ramenskoye Airport
UUDD, Domodedovo International Airport
UUDL, Tunoshna Airport
UUEE, Sheremetyevo International Airport
UUEI, Kimry Airport
UUEM, Migalovo Air Base
UUMI, Stupino Airfield
UUML, Severka Airfield
UUMO, Ostafyevo International Airport
UUMT, Tretyakovo Airport
UUMU, Chkalovskiy Airport
UUMX, Blagoveshchenye Airfield
UUOB, Belgorod International Airport
UUOD, Pridacha Airport
UUOK, Kursk East Airport
UUOL, Lipetsk Airport
UUOO, Voronezh International Airport
UUOR, Oryol Yuzhny Airport
UUOS, Stary Oskol Airport
UUOT, Donskoye Airport
UUUS, Tushino Airport
UUWE, Yermolino Airport
UUWR, Turlatovo Airport
UUWV, Klokovo Airfield
UUWW, Vnukovo International Airport
UUYH, Ukhta Airport
UUYI, Inta Airport
UUYK, Vuktyl Airport
UUYM, Yemva Airport
UUYP, Pechora Airport
UUYS, Usinsk Airport
UUYT, Ust-Kulom Airport
UUYV, Izhma Airport
UUYW, Vorkuta Airport
UUYX, Ust-Tsylma Airport
UUYY, Syktyvkar Airport
UWGB, Bolshoye Boldino Airport
UWGG, Nizhny Novgorod International Airport
UWKB, Bugulma Airport
UWKD, Kazan International Airport
UWKE, Begishevo Airport
UWKG, Borisoglebskoye Airport
UWKI, Chistopol Airport
UWKJ, Yoshkar-Ola Airport
UWKS, Cheboksary Airport
UWLL, Ulyanovsk Baratayevka Airport
UWLS, Soldatskaya Tashla Airfield
UWLW, Ulyanovsk East Airport
UWOF, Dombarovskiy Air Base
UWOO, Orenburg Central Airport
UWOR, Orsk Airport
UWOX, Buzuluk Airport
UWPP, Penza Airport
UWPS, Saransk Airport
UWSB, Balakovo Airport
UWSK, Krasny Kut Airport
UWSS, Saratov Central Airport
UWUA, Sibay Airport
UWUB, Beloretsk Airport
UWUF, Neftekamsk Airport
UWUK, Oktyabrskiy Airport
UWUM, Maksimovka Airport
UWUU, Ufa International Airport
UWWB, Buguruslan Severny Airport
UWWE, Verkhneye Sancheleyevo Airfield
UWWG, Bezymyanka Airfield
UWWS, Smyshlyayevka Airport
UWWT, Tolyatti Airport
UWWW, Kurumoch International Airport
UWWZ, Buguruslan Glavny Airfield
VAAH, Sardar Vallabhbhai Patel International Airport
VAAK, Akola Airport
VAAU, Aurangabad Airport
VABB, Chhatrapati Shivaji International Airport
VABI, Bilaspur Airport
VABJ, Bhuj Airport
VABM, Belgaum Airport
VABO, Vadodara Airport
VABP, Bhopal Airport
VABV, Bhavnagar Airport
VADN, Daman Airport
VADS, Deesa Airport
VAGN, Guna Airport
VAGO, Dabolim Airport
VAHB, Hubli Airport
VAID, Devi Ahilyabai Holkar Airport
VAJB, Jabalpur Airport
VAJJ, Juhu Aerodrome
VAJM, Jamnagar Airport
VAKE, Kandla Airport
VAKJ, Khajuraho Airport
VAKP, Kolhapur Airport
VAKS, Keshod Airport
VALT, Murod Kond Airport
VAND, Nanded Airport
VANP, Dr. Babasaheb Ambedkar International Airport
VANR, Gandhinagar Airport
VAOZ, Ozar Air Force Station
VAPO, Pune Airport
VAPR, Porbandar Airport
VARG, Ratnagiri Airport
VARK, Rajkot Airport
VARP, Raipur Airport
VASL, Solapur Airport
VASU, Surat Airport
VAUD, Maharana Pratap Airport
VCBI, Bandaranaike International Colombo Airport
VCCA, Anuradhapura Air Force Base
VCCB, Batticaloa Airport
VCCC, Colombo Ratmalana Airport
VCCG, Amparai Airport
VCCH, Hingurakgoda Air Force Base
VCCJ, Kankesanturai Airport
VCCK, Koggala Airport
VCCN, Katukurunda Air Force Base
VCCS, Sigiriya Air Force Base
VCCT, China Bay Airport
VCCV, Vavuniya Airport
VCCW, Weerawila International Airport
VDBG, Battambang Airport
VDKC, Kompong Cham Airport
VDKH, Kampong Chhnang Airport
VDKK, Kaoh Kong Airport
VDKT, Kratie Airport
VDMK, Mondulkiri Airport
VDPP, Phnom Penh International Airport
VDRK, Ratanakiri Airport
VDSR, Angkor International Airport
VDST, Stung Treng Airport
VDSV, Sihanoukville International Airport
VEAN, Along Airport
VEAT, Agartala Airport
VEBA, Behala Airport
VEBD, Bagdogra Airport
VEBG, Balurghat Airport
VEBI, Shillong Airport
VEBK, Bokaro Airport
VEBS, Biju Patnaik Airport
VECA, Chabua Air Force Station
VECC, Netaji Subhash Chandra Bose International Airport
VECK, Chakulia Airport
VECO, Cooch Behar Airport
VEDB, Dhanbad Airport
VEDX, Kalaikunda Air Force Station
VEDZ, Daporijo Airport
VEGK, Gorakhpur Airport
VEGT, Lokpriya Gopinath Bordoloi International Airport
VEGY, Gaya Airport
VEHK, Hirakud Airport
VEIM, Imphal Airport
VEJH, Jharsuguda Airport
VEJP, Jeypore Airport
VEJS, Jamshedpur Airport
VEJT, Jorhat Airport
VEKM, Kamalpur Airport
VEKR, Kailashahar Airport
VEKU, Silchar Airport
VEKW, Khowai Airport
VELP, Lengpui Airport
VELR, North Lakhimpur Airport
VEMH, Malda Airport
VEMN, Dibrugarh Airport
VEMR, Dimapur Airport
VEMZ, Muzaffarpur Airport
VENP, Nawapara Airport
VEPG, Pasighat Airport
VEPH, Panagarh Air Force Station
VEPI, Barrackpore Air Force Station
VEPT, Lok Nayak Jayaprakash Airport
VEPU, Purnea Airport
VERC, Birsa Munda Airport
VERK, Rourkela Airport
VERL, Raxaul Airport
VERU, Rupsi India Airport
VETJ, Tezu Airport
VETZ, Tezpur Airport
VEUK, Utkela Airport
VEVZ, Vishakhapatnam Airport
VEZO, Zero Airport
VGBR, Barisal Airport
VGCB, Cox's Bazar Airport
VGCM, Comilla Airport
VGEG, Shah Amanat International Airport
VGHS, Dhaka / Hazrat Shahjalal International Airport
VGIS, Ishurdi Airport
VGJR, Jessore Airport
VGLM, Lalmonirhat Airport
VGRJ, Shah Mokhdum Airport
VGSD, Saidpur Airport
VGSG, Thakurgaon Airport
VGSH, Shamshernagar Airport
VGSY, Osmany International Airport
VGTJ, Tejgaon Airport
VHHH, Chek Lap Kok International Airport
VHSK, Shek Kong Air Base
VIAG, Agra Airport
VIAH, Dhanipur Airstrip
VIAL, Allahabad Airport
VIAM, Ambala Air Force Station
VIAR, Sri Guru Ram Dass Jee International Airport Amritsar
VIAW, Awantipur Air Force Station
VIAX, Adampur Air Force Station
VIBK, Nal Airport
VIBL, Bakshi Ka Talab Air Force Station
VIBN, Lal Bahadur Shastri Airport
VIBR, Kullu Manali Airport
VIBT, Bhatinda Air Force Station
VIBW, Bhiwani Airport
VIBY, Bareilly Air Force Station
VICG, Chandigarh Airport
VICX, Chakeri Air Force Station
VIDD, Safdarjung Airport
VIDF, Pithorgarh Airport
VIDN, Dehradun Airport
VIDP, Indira Gandhi International Airport
VIDX, Hindon Air Force Station
VIGG, Kangra Airport
VIGR, Gwalior Airport
VIHR, Hissar Airport
VIHX, Halwara Air Force Station
VIJN, Jhansi Airport
VIJO, Jodhpur Airport
VIJP, Jaipur International Airport
VIJR, Jaisalmer Airport
VIJU, Jammu Airport
VIKA, Kanpur Airport
VIKO, Kota Airport
VILD, Ludhiana Airport
VILH, Leh Kushok Bakula Rimpochee Airport
VILK, Chaudhary Charan Singh International Airport
VILP, Lalitpur Airport
VIPK, Pathankot Air Force Station
VIPL, Patiala Airport
VIPT, Pantnagar Airport
VIRB, Fursatganj Airport
VISA, Sirsa Air Force Station
VISM, Shimla Airport
VISP, Sarsawa Air Force Station
VISR, Sheikh ul Alam Airport
VIST, Satna Airport
VIUT, Uttarlai Airport
VIUX, Udhampur Air Force Station
VLAP, Attopeu Airport
VLHS, Ban Huoeisay Airport
VLLB, Luang Phabang International Airport
VLLN, Luang Namtha Airport
VLOS, Oudomsay Airport
VLPS, Pakse International Airport
VLPV, Phonesavanh Airport
VLSB, Sayaboury Airport
VLSK, Savannakhet Airport
VLSN, Sam Neua Airport
VLSV, Saravane Airport
VLTK, Thakhek Airport
VLVT, Wattay International Airport
VLXK, Xieng Khouang Airport
VMMC, Macau International Airport
VNBG, Bajhang Airport
VNBJ, Bhojpur Airport
VNBL, Baglung Airport
VNBP, Bharatpur Airport
VNBR, Bajura Airport
VNBT, Baitadi Airport
VNBW, Bhairahawa Airport
VNCG, Bhadrapur Airport
VNDG, Tulsipur Airport
VNDH, Dhangarhi Airport
VNDL, Darchula Airport
VNDP, Dolpa Airport
VNDR, Dhorpatan Airport
VNDT, Silgadi Doti Airport
VNGK, Gorkha Airport
VNJI, Jiri Airport
VNJL, Jumla Airport
VNJP, Janakpur Airport
VNJS, Jomsom Airport
VNKL, Kangel Danda Airport
VNKT, Tribhuvan International Airport
VNLD, Lamidanda Airport
VNLK, Lukla Airport
VNLT, Langtang Airport
VNMA, Manang Airport
VNMG, Meghauli Airport
VNMN, Mahendranagar Airport
VNNG, Nepalgunj Airport
VNPK, Pokhara Airport
VNPL, Phaplu Airport
VNRB, Rajbiraj Airport
VNRC, Ramechhap Airport
VNRK, Rukumkot Airport
VNRP, Rolpa Airport
VNRT, Rumjatar Airport
VNSI, Simara Airport
VNSK, Surkhet Airport
VNSR, Sanfebagar Airport
VNST, Simikot Airport
VNTH, Thamkharka Airport
VNTJ, Suketar Airport
VNTP, Tikapur Airport
VNTR, Tumling Tar Airport
VNVT, Biratnagar Airport
VOAR, Arkonam Airport
VOAT, Agatti Airport
VOBG, HAL Airport
VOBI, Bellary Airport
VOBL, Bengaluru International Airport
VOBR, Bidar Air Force Station
VOBZ, Vijayawada Airport
VOCB, Coimbatore International Airport
VOCC, Willingdon Island Air Base
VOCI, Cochin International Airport
VOCL, Calicut International Airport
VOCP, Cuddapah Airport
VOCX, Car Nicobar Air Force Station
VODG, Dundigul Air Force Academy
VODK, Dunakonda Airport
VOHK, Hakimpet Airport
VOHS, Rajiv Gandhi International Airport Shamshabad
VOHY, Begumpet Airport
VOJV, Vijayanagar Aerodrome (JSW)
VOKP, Koppal Aerodrome
VOMD, Madurai Airport
VOML, Mangalore International Airport
VOMM, Chennai International Airport
VOMY, Mysore Airport
VONS, Nagarjuna Sagar Airport
VOPB, Vir Savarkar International Airport
VOPC, Pondicherry Airport
VORM, Ramnad Naval Air Station
VORY, Rajahmundry Airport
VOSM, Salem Airport
VOSX, Coimbatore Air Force Station
VOTJ, Tanjore Air Force Base
VOTP, Tirupati Airport
VOTR, Tiruchirapally Civil Airport Airport
VOTV, Trivandrum International Airport
VOTX, Tambaram Air Force Station
VOVR, Vellore Airport
VOWA, Warangal Airport
VOYK, Yelahanka Air Force Station
VQPR, Paro Airport
VRMF, Fuvahmulah Airport
VRMG, Gan International Airport
VRMH, Hanimaadhoo Airport
